lowRate,cheapestRate_allNights_baseFare,cheapestRate_allNights_fees,cheapestRate_allNights_taxes,cheapestRate_allNights_totalFare,cheapestRate_perNight_baseFare,cheapestRate_perNight_fees,cheapestRate_perNight_taxes,cheapestRate_perNight_totalFare,originalRate_allNights_baseFare,originalRate_allNights_fees,originalRate_allNights_taxes,originalRate_allNights_totalFare,originalRate_perNight_baseFare,originalRate_perNight_fees,originalRate_perNight_taxes,originalRate_perNight_totalFare
1648320,1362247,0,286073,1648320,454082,0.0,95357.67,549440,1477685,0,310315,1788000,492561,0.0,103438.33,596000
1351913,1117284,0,234629,1351913,372428,0.0,78209.67,450638,1294726,0,271893,1566619,431575,0.0,90631.0,522206
840000,694214,0,145786,840000,231404,0.0,48595.33,280000,867768,0,182232,1050000,289256,0.0,60744.0,350000
930000,768594,0,161406,930000,256198,0.0,53802.0,310000,1024792,0,215208,1240000,341597,0.0,71736.0,413333
1080000,892563,0,187437,1080000,297521,0.0,62479.0,360000,1190084,0,249916,1440000,396694,0.0,83305.33,480000
599997,495864,0,104133,599997,165288,0.0,34711.0,199999,661152,0,138844,799996,220384,0.0,46281.33,266665
266380,220148,0,46232,266380,73382,0.0,15410.67,88793,323749,0,67987,391736,107916,0.0,22662.33,130579
646797,534543,0,112254,646797,178181,0.0,37418.0,215599,712724,0,149672,862396,237574,0.0,49890.67,287465
652618,539354,0,113264,652618,179784,0.0,37754.67,217539,856118,0,179785,1035903,285372,0.0,59928.33,345301
780705,645210,0,135495,780705,215070,0.0,45165.0,260235,816723,0,171513,988236,272241,0.0,57171.0,329412
812250,671280,0,140970,812250,223760,0.0,46990.0,270750,706611,0,148389,855000,235537,0.0,49463.0,285000
515033,425647,0,89386,515033,141882,0.0,29795.33,171678,625951,0,131450,757401,208650,0.0,43816.67,252467
486579,402131,0,84448,486579,134043,0.0,28149.33,162193,515553,0,108266,623819,171851,0.0,36088.67,207940
1448000,1196695,0,251305,1448000,398898,0.0,83768.33,482667,1595593,0,335074,1930667,531864,0.0,111691.33,643556
