city,id,name,displayName,region,starRating,userRating,numReviews,userRatingInfo
Bandung,3000010009980,Hotel 88 Bandung Kopo,Hotel 88 Bandung Kopo,"Cibaduyut, Bandung",2.0,8.5,5123.0,Mengesankan
Bandung,3000010038988,Sari Ater Kamboti Hotel Bandung,Sari Ater Kamboti Hotel Bandung,"Pasteur, Bandung",4.0,8.3,5865.0,Mengesankan
Bandung,3000010000835,Kedaton Hotel,Kedaton Hotel,"Sumurbandung, Bandung",3.0,8.4,5277.0,Mengesankan
Bandung,3000010004492,Hemangini Hotel Bandung,Hemangini Hotel Bandung,"Setiabudi, Bandung",4.0,8.5,5488.0,Mengesankan
Medan,129579,Cambridge Hotel Medan,Cambridge Hotel Medan,"Pusat Kota Medan, Medan",5.0,8.5,6263.0,Mengesankan
Medan,3000010022750,JW Marriott Hotel Medan,JW Marriott Hotel Medan,"Pusat Kota Medan, Medan",5.0,8.7,7460.0,Mengesankan
Medan,3000020014393,Horison Sky Kualanamu,Horison Sky Kualanamu,"Beringin, Medan",3.0,8.5,2704.0,Mengesankan
Medan,9000000947465,Hotel Anaya,Hotel Anaya,"Medan Baru, Medan",0.0,6.9,19.0,Baik
Medan,3000020003466,Prime Plaza Hotel Kualanamu,Prime Plaza Hotel Kualanamu,"Batang Kuis, Medan",4.0,8.6,1397.0,Mengesankan
Medan,9000001006352,Cordex Hotel Medan,Cordex Hotel Medan,"Pusat Kota Medan, Medan",0.0,8.6,61.0,Mengesankan
Medan,3000010020069,Miyanna Hotel,Miyanna Hotel,"Percut Sei Tuan, Medan",3.0,7.9,975.0,Nyaman
Medan,9000001042218,SELECTA HOTEL,SELECTA HOTEL,"Pusat Kota Medan, Medan",4.0,8.2,70.0,Nyaman
Medan,9000000502450,OYO 2361 Hotel Winston,OYO 2361 Hotel Winston,"Tanjung Morawa, Medan",2.0,7.2,79.0,Nyaman
Medan,344407,Grand Kanaya Hotel,Grand Kanaya Hotel,"Medan Petisah, Medan",3.0,8.1,2701.0,Nyaman
Medan,3000010028282,CREW EXPRESS Hotel,CREW EXPRESS Hotel,"Tanjung Morawa, Medan",3.0,8.3,2165.0,Mengesankan
Medan,3000010009181,Hotel Antares,Hotel Antares,"Pusat Kota Medan, Medan",3.0,7.9,808.0,Nyaman
Medan,9000000975057,Swasana Hotel Medan,Swasana Hotel Medan,"Medan Petisah, Medan",3.0,8.4,127.0,Mengesankan
Medan,9000000824274,Cordela Inn Millenium Medan,Cordela Inn Millenium Medan,"Medan Helvetia, Medan",2.0,8.4,483.0,Mengesankan
Medan,186870,Alpha Inn Medan,Alpha Inn Medan,"Medan Petisah, Medan",3.0,7.7,3815.0,Nyaman
Medan,3000010000786,Cordela Hotel Medan,Cordela Hotel Medan,"Pusat Kota Medan, Medan",2.0,8.4,3519.0,Mengesankan
Medan,2000000226541,Pardede International Hotel Medan,Pardede International Hotel Medan,"Medan Polonia, Medan",3.0,7.7,1076.0,Nyaman
Medan,3000010002773,Wisma Sederhana Budget Hotel,Wisma Sederhana Budget Hotel,"Pusat Kota Medan, Medan",0.0,8.3,1700.0,Mengesankan
Medan,4000000454962,Hotel Menara Lexus,Hotel Menara Lexus,"Medan Maimun, Medan",0.0,7.7,274.0,Nyaman
Medan,9000001047413,NIVIA HOTEL,NIVIA HOTEL,"Medan Tembung, Medan",3.0,8.8,12.0,Mengesankan
Medan,3000020003196,Lively Hotel Kualanamu Airport Medan,Lively Hotel Kualanamu Airport Medan,"Batang Kuis, Medan",2.0,8.0,793.0,Nyaman
Medan,9000000630296,OYO 2345 Homestay Jaya,OYO 2345 Homestay Jaya,"Pusat Kota Medan, Medan",1.0,7.0,63.0,Baik
Medan,3000020000121,Hotel Aero,Hotel Aero,"Tanjung Morawa, Medan",2.0,7.9,263.0,Nyaman
Medan,3000010003076,OYO 90565 Wesly House,OYO 90565 Wesly House,"Medan Petisah, Medan",1.0,8.0,552.0,Nyaman
Medan,3000010006697,Amaliun Hotel,Amaliun Hotel,"Pusat Kota Medan, Medan",2.0,8.1,705.0,Nyaman
